,id,academic_year,wenli,batch,batch_name,diploma_id,admission_count,enroll_plan_count,max_score,max_score_diff,max_score_equal,max_score_rank,min_score,min_score_diff,min_score_equal,min_score_rank,avg_score,avg_score_diff,avg_score_equal,avg_score_rank,school_id
0,1,2019,1,1,本科第一批,7,-2147483648,19,-2147483648,-2147483648,-2147483648,2147483647,674,125,674,24,-2147483648,-2147483648,-2147483648,2147483647,52ac2e9a747aec013fcf5190
1,2,2018,1,1,本科第一批,7,19,19,707,148,713,8,691,132,673,27,696,137,689,12,52ac2e9a747aec013fcf5190
2,3,2017,1,1,本科第一批,7,19,19,681,164,683,13,664,147,673,28,670,153,677,15,52ac2e9a747aec013fcf5190
3,4,2016,1,1,本科第一批,7,19,18,688,153,695,11,667,132,670,39,674,139,677,14,52ac2e9a747aec013fcf5190
4,5,2019,2,1,本科第一批,7,-2147483648,15,-2147483648,-2147483648,-2147483648,2147483647,696,194,696,51,-2147483648,-2147483648,-2147483648,2147483647,52ac2e9a747aec013fcf5190
5,6,2018,2,1,本科第一批,7,19,15,720,209,711,16,707,196,696,45,710,199,701,23,52ac2e9a747aec013fcf5190
6,7,2017,2,1,本科第一批,7,16,15,707,222,719,13,692,207,695,54,698,213,700,24,52ac2e9a747aec013fcf5190
7,8,2016,2,1,本科第一批,7,14,12,724,199,725,11,709,184,696,47,714,189,705,18,52ac2e9a747aec013fcf5190
8,9,2019,1,1,本科第一批,7,-2147483648,1,-2147483648,-2147483648,-2147483648,2147483647,684,135,689,12,-2147483648,-2147483648,-2147483648,2147483647,52ac2e99747aec013fcf4e6f
9,10,2018,1,1,本科第一批,7,2,1,703,144,707,9,698,139,707,9,701,142,707,9,52ac2e99747aec013fcf4e6f
10,11,2017,1,1,本科第一批,7,3,1,678,161,677,14,669,152,677,15,675,158,677,14,52ac2e99747aec013fcf4e6f
11,12,2016,1,1,本科第一批,7,5,3,706,171,707,9,675,140,683,13,685,150,689,12,52ac2e99747aec013fcf4e6f
12,13,2019,2,1,本科第一批,7,-2147483648,36,-2147483648,-2147483648,-2147483648,2147483647,692,190,692,78,-2147483648,-2147483648,-2147483648,2147483647,52ac2e99747aec013fcf4e6f
13,14,2018,2,1,本科第一批,7,36,36,734,223,730,9,704,193,693,66,710,199,701,23,52ac2e99747aec013fcf4e6f
14,15,2017,2,1,本科第一批,7,36,36,715,230,725,11,691,206,693,65,698,213,700,24,52ac2e99747aec013fcf4e6f
15,16,2016,2,1,本科第一批,7,31,31,718,193,719,13,706,181,691,80,712,187,700,27,52ac2e99747aec013fcf4e6f
16,17,2019,1,1,本科第一批,7,-2147483648,6,-2147483648,-2147483648,-2147483648,2147483647,666,117,666,81,-2147483648,-2147483648,-2147483648,2147483647,52ac2e9b747aec013fcf5417
17,18,2018,1,1,本科第一批,7,6,6,691,132,673,27,684,125,667,62,686,127,669,49,52ac2e9b747aec013fcf5417
18,19,2017,1,1,本科第一批,7,6,6,660,143,670,39,652,135,664,94,655,138,667,70,52ac2e9b747aec013fcf5417
19,20,2016,1,1,本科第一批,7,6,6,667,132,670,39,663,128,667,73,665,130,668,59,52ac2e9b747aec013fcf5417
20,21,2019,2,1,本科第一批,7,-2147483648,8,-2147483648,-2147483648,-2147483648,2147483647,670,168,670,729,-2147483648,-2147483648,-2147483648,2147483647,52ac2e9b747aec013fcf5417
21,22,2018,2,1,本科第一批,7,8,8,704,193,693,66,703,192,691,85,703,192,691,85,52ac2e9b747aec013fcf5417
22,23,2017,2,1,本科第一批,7,8,8,691,206,693,65,689,204,691,87,690,205,691,80,52ac2e9b747aec013fcf5417
